index,id,menuCommandString,menu_en,menu_ja,extendscript,applescript,jxa,minVersion,maxVersion
1,menuCommandString_1,new,File > New…,ファイル > 新規...,app.executeMenuCommand('new');,"execute menu command menu command string ""new""",app.executeMenuCommand({menuCommandString: 'new'});,16,99
2,menuCommandString_2,newFromTemplate,File > New from Template…,ファイル > テンプレートから新規...,app.executeMenuCommand('newFromTemplate');,"execute menu command menu command string ""newFromTemplate""",app.executeMenuCommand({menuCommandString: 'newFromTemplate'});,16,99
3,menuCommandString_3,open,File > Open…,ファイル > 開く...,app.executeMenuCommand('open');,"execute menu command menu command string ""open""",app.executeMenuCommand({menuCommandString: 'open'});,16,99
4,menuCommandString_4,Adobe Bridge Browse,File > Browse in Bridge…,ファイル > Bridge で参照...,app.executeMenuCommand('Adobe Bridge Browse');,"execute menu command menu command string ""Adobe Bridge Browse""",app.executeMenuCommand({menuCommandString: 'Adobe Bridge Browse'});,16,99
5,menuCommandString_5,close,File > Close,ファイル > 閉じる,app.executeMenuCommand('close');,"execute menu command menu command string ""close""",app.executeMenuCommand({menuCommandString: 'close'});,16,99
6,menuCommandString_614,closeAll,File > Close All,ファイル > すべてを閉じる,app.executeMenuCommand('closeAll'),"execute menu command menu command string ""closeAll""",app.executeMenuCommand({menuCommandString: 'closeAll'});,29.4,99.0
7,menuCommandString_6,save,File > Save,ファイル > 保存,app.executeMenuCommand('save');,"execute menu command menu command string ""save""",app.executeMenuCommand({menuCommandString: 'save'});,16,99
8,menuCommandString_7,saveas,File > Save As…,ファイル > 別名で保存...,app.executeMenuCommand('saveas');,"execute menu command menu command string ""saveas""",app.executeMenuCommand({menuCommandString: 'saveas'});,16,99
9,menuCommandString_8,saveacopy,File > Save a Copy…,ファイル > 複製を保存...,app.executeMenuCommand('saveacopy');,"execute menu command menu command string ""saveacopy""",app.executeMenuCommand({menuCommandString: 'saveacopy'});,16,99
10,menuCommandString_9,saveastemplate,File > Save as Template…,ファイル > テンプレートとして保存...,app.executeMenuCommand('saveastemplate');,"execute menu command menu command string ""saveastemplate""",app.executeMenuCommand({menuCommandString: 'saveastemplate'});,16,99
11,menuCommandString_10,Adobe AI Save For Web,File > Save for Web…,ファイル > 書き出し > Web 用に保存 (従来)...,app.executeMenuCommand('Adobe AI Save For Web');,"execute menu command menu command string ""Adobe AI Save For Web""",app.executeMenuCommand({menuCommandString: 'Adobe AI Save For Web'});,16,19.9
12,menuCommandString_11,Adobe AI Save Selected Slices,File > Save Selected Slices…,ファイル > 選択したスライスを保存...,app.executeMenuCommand('Adobe AI Save Selected Slices');,"execute menu command menu command string ""Adobe AI Save Selected Slices""",app.executeMenuCommand({menuCommandString: 'Adobe AI Save Selected Slices'});,16,99
13,menuCommandString_12,revert,File > Revert,ファイル > 復帰,app.executeMenuCommand('revert');,"execute menu command menu command string ""revert""",app.executeMenuCommand({menuCommandString: 'revert'});,16,99
14,menuCommandString_13,Search Adobe Stock,File > Search Adobe Stock…,ファイル > Adobe Stock を検索...,app.executeMenuCommand('Search Adobe Stock');,"execute menu command menu command string ""Search Adobe Stock""",app.executeMenuCommand({menuCommandString: 'Search Adobe Stock'});,19,99
15,menuCommandString_14,AI Place,File > Place…,ファイル > 配置...,app.executeMenuCommand('AI Place');,"execute menu command menu command string ""AI Place""",app.executeMenuCommand({menuCommandString: 'AI Place'});,16,99
16,menuCommandString_15,export,File > Export…,ファイル > 書き出し...,app.executeMenuCommand('export');,"execute menu command menu command string ""export""",app.executeMenuCommand({menuCommandString: 'export'});,16,19.9
17,menuCommandString_567,Generate Modal File Menu,File > Generate Vectors (Beta),ファイル > 生成ベクター (Beta),app.executeMenuCommand('Generate Modal File Menu ');,"execute menu command menu command string ""Generate Modal File Menu """,app.executeMenuCommand({menuCommandString: 'Generate Modal File Menu '});,28.6,29.4
18,menuCommandString_590,Generate Modal File Menu,File > Generate Vectors,ファイル > ベクターを生成,app.executeMenuCommand('Generate Modal File Menu ');,"execute menu command menu command string ""Generate Modal File Menu """,app.executeMenuCommand({menuCommandString: 'Generate Modal File Menu '});,29.5,29.8
19,menuCommandString_538,Invite People,File > Invite to Edit…,ファイル > 編集に招待...,app.executeMenuCommand('Invite People');,"execute menu command menu command string ""Invite People""",app.executeMenuCommand({menuCommandString: 'Invite People'});,27.0,99.0
