index,id,toolName,category,tool_en,tool_ja,extendscript,applescript,jxa,minVersion
1,toolName_1,Adobe Type Tool,Type,Type Tool,文字,app.selectTool('Adobe Type Tool');,"Select Tool tool name ""Adobe Type Tool""",app.selectTool({toolName: 'Adobe Type Tool'});,24
2,toolName_2,Adobe Area Type Tool,Type,Area Type Tool,エリア内文字,app.selectTool('Adobe Area Type Tool');,"Select Tool tool name ""Adobe Area Type Tool""",app.selectTool({toolName: 'Adobe Area Type Tool'});,24
3,toolName_3,Adobe Path Type Tool,Type,Type on a Path Tool,パス上文字,app.selectTool('Adobe Path Type Tool');,"Select Tool tool name ""Adobe Path Type Tool""",app.selectTool({toolName: 'Adobe Path Type Tool'});,24
4,toolName_4,Adobe Vertical Type Tool,Type,Vertical Type Tool,文字 (縦),app.selectTool('Adobe Vertical Type Tool');,"Select Tool tool name ""Adobe Vertical Type Tool""",app.selectTool({toolName: 'Adobe Vertical Type Tool'});,24
5,toolName_5,Adobe Vertical Area Type Tool,Type,Vertical Area Type Tool,エリア内文字 (縦),app.selectTool('Adobe Vertical Area Type Tool');,"Select Tool tool name ""Adobe Vertical Area Type Tool""",app.selectTool({toolName: 'Adobe Vertical Area Type Tool'});,24
6,toolName_6,Adobe Vertical Path Type Tool,Type,Vertical Type on a Path Tool,パス上文字 (縦),app.selectTool('Adobe Vertical Path Type Tool');,"Select Tool tool name ""Adobe Vertical Path Type Tool""",app.selectTool({toolName: 'Adobe Vertical Path Type Tool'});,24
7,toolName_7,Adobe Touch Type Tool,Type,Touch Type Tool,文字タッチ,app.selectTool('Adobe Touch Type Tool');,"Select Tool tool name ""Adobe Touch Type Tool""",app.selectTool({toolName: 'Adobe Touch Type Tool'});,24
8,toolName_8,Adobe Right-To-Left Type Tool,Type,,,app.selectTool('Adobe Right-To-Left Type Tool');,"Select Tool tool name ""Adobe Right-To-Left Type Tool""",app.selectTool({toolName: 'Adobe Right-To-Left Type Tool'});,24
9,toolName_9,Adobe Right-To-Left Area Type Tool,Type,,,app.selectTool('Adobe Right-To-Left Area Type Tool');,"Select Tool tool name ""Adobe Right-To-Left Area Type Tool""",app.selectTool({toolName: 'Adobe Right-To-Left Area Type Tool'});,24
10,toolName_10,Adobe Right-To-Left Path Type Tool,Type,,,app.selectTool('Adobe Right-To-Left Path Type Tool');,"Select Tool tool name ""Adobe Right-To-Left Path Type Tool""",app.selectTool({toolName: 'Adobe Right-To-Left Path Type Tool'});,24
11,toolName_11,Adobe Rounded Rectangle Tool,Draw 04,Rounded Rectangle Tool,角丸長方形,app.selectTool('Adobe Rounded Rectangle Tool');,"Select Tool tool name ""Adobe Rounded Rectangle Tool""",app.selectTool({toolName: 'Adobe Rounded Rectangle Tool'});,24
12,toolName_12,Adobe Select Tool,Select 01,Selection Tool,選択,app.selectTool('Adobe Select Tool');,"Select Tool tool name ""Adobe Select Tool""",app.selectTool({toolName: 'Adobe Select Tool'});,24
13,toolName_13,Adobe Direct Select Tool,Select 02,Direct Selection Tool,ダイレクト選択,app.selectTool('Adobe Direct Select Tool');,"Select Tool tool name ""Adobe Direct Select Tool""",app.selectTool({toolName: 'Adobe Direct Select Tool'});,24
14,toolName_14,Adobe Direct Object Select Tool,Select 02,Group Selection Tool,グループ選択,app.selectTool('Adobe Direct Object Select Tool');,"Select Tool tool name ""Adobe Direct Object Select Tool""",app.selectTool({toolName: 'Adobe Direct Object Select Tool'});,24
15,toolName_15,Adobe Scale Tool,Modify 02,Scale Tool,拡大・縮小,app.selectTool('Adobe Scale Tool');,"Select Tool tool name ""Adobe Scale Tool""",app.selectTool({toolName: 'Adobe Scale Tool'});,24
16,toolName_16,Adobe Rotate Tool,Modify 01,Rotate Tool,回転,app.selectTool('Adobe Rotate Tool');,"Select Tool tool name ""Adobe Rotate Tool""",app.selectTool({toolName: 'Adobe Rotate Tool'});,24
17,toolName_17,Adobe Reflect Tool,Modify 01,Reflect Tool,リフレクト,app.selectTool('Adobe Reflect Tool');,"Select Tool tool name ""Adobe Reflect Tool""",app.selectTool({toolName: 'Adobe Reflect Tool'});,24
18,toolName_18,Adobe Shear Tool,Modify 02,Shear Tool,シアー,app.selectTool('Adobe Shear Tool');,"Select Tool tool name ""Adobe Shear Tool""",app.selectTool({toolName: 'Adobe Shear Tool'});,24
19,toolName_19,Adobe Column Graph Tool,Draw 08,Column Graph Tool,棒グラフ,app.selectTool('Adobe Column Graph Tool');,"Select Tool tool name ""Adobe Column Graph Tool""",app.selectTool({toolName: 'Adobe Column Graph Tool'});,24
20,toolName_20,Adobe Stacked Column Graph Tool,Draw 08,Stacked Column Graph Tool,積み上げ棒グラフ,app.selectTool('Adobe Stacked Column Graph Tool');,"Select Tool tool name ""Adobe Stacked Column Graph Tool""",app.selectTool({toolName: 'Adobe Stacked Column Graph Tool'});,24
21,toolName_21,Adobe Line Graph Tool,Draw 08,Line Graph Tool,折れ線グラフ,app.selectTool('Adobe Line Graph Tool');,"Select Tool tool name ""Adobe Line Graph Tool""",app.selectTool({toolName: 'Adobe Line Graph Tool'});,24
22,toolName_22,Adobe Pie Graph Tool,Draw 08,Pie Graph Tool,円グラフ,app.selectTool('Adobe Pie Graph Tool');,"Select Tool tool name ""Adobe Pie Graph Tool""",app.selectTool({toolName: 'Adobe Pie Graph Tool'});,24
23,toolName_23,Adobe Area Graph Tool,Draw 08,Area Graph Tool,階層グラフ,app.selectTool('Adobe Area Graph Tool');,"Select Tool tool name ""Adobe Area Graph Tool""",app.selectTool({toolName: 'Adobe Area Graph Tool'});,24
24,toolName_24,Adobe Scatter Graph Tool,Draw 08,Scatter Graph Tool,散布図,app.selectTool('Adobe Scatter Graph Tool');,"Select Tool tool name ""Adobe Scatter Graph Tool""",app.selectTool({toolName: 'Adobe Scatter Graph Tool'});,24
25,toolName_25,Adobe Bar Graph Tool,Draw 08,Bar Graph Tool,横向き棒グラフ,app.selectTool('Adobe Bar Graph Tool');,"Select Tool tool name ""Adobe Bar Graph Tool""",app.selectTool({toolName: 'Adobe Bar Graph Tool'});,24
26,toolName_26,Adobe Stacked Bar Graph Tool,Draw 08,Stacked Bar Graph Tool,横向き積み上げ棒グラフ,app.selectTool('Adobe Stacked Bar Graph Tool');,"Select Tool tool name ""Adobe Stacked Bar Graph Tool""",app.selectTool({toolName: 'Adobe Stacked Bar Graph Tool'});,24
27,toolName_27,Adobe Radar Graph Tool,Draw 08,Radar Graph Tool,レーダーチャート,app.selectTool('Adobe Radar Graph Tool');,"Select Tool tool name ""Adobe Radar Graph Tool""",app.selectTool({toolName: 'Adobe Radar Graph Tool'});,24
28,toolName_28,Adobe Scroll Tool,Navigate 01,Hand Tool,手のひら,app.selectTool('Adobe Scroll Tool');,"Select Tool tool name ""Adobe Scroll Tool""",app.selectTool({toolName: 'Adobe Scroll Tool'});,24
29,toolName_29,Adobe Freehand Tool,Draw 06,Pencil Tool,鉛筆,app.selectTool('Adobe Freehand Tool');,"Select Tool tool name ""Adobe Freehand Tool""",app.selectTool({toolName: 'Adobe Freehand Tool'});,24
30,toolName_30,Adobe Freehand Smooth Tool,Draw 06,Smooth Tool,スムーズ,app.selectTool('Adobe Freehand Smooth Tool');,"Select Tool tool name ""Adobe Freehand Smooth Tool""",app.selectTool({toolName: 'Adobe Freehand Smooth Tool'});,24
31,toolName_31,Adobe Freehand Erase Tool,Draw 06,Path Eraser Tool,パス消しゴム,app.selectTool('Adobe Freehand Erase Tool');,"Select Tool tool name ""Adobe Freehand Erase Tool""",app.selectTool({toolName: 'Adobe Freehand Erase Tool'});,24
32,toolName_32,Adobe Corner Join Tool,Draw 06,Join Tool,連結ツール,app.selectTool('Adobe Corner Join Tool');,"Select Tool tool name ""Adobe Corner Join Tool""",app.selectTool({toolName: 'Adobe Corner Join Tool'});,24
33,toolName_33,Adobe Pen Tool,Draw 01,Pen Tool,ペン,app.selectTool('Adobe Pen Tool');,"Select Tool tool name ""Adobe Pen Tool""",app.selectTool({toolName: 'Adobe Pen Tool'});,24
34,toolName_34,Adobe Blend Tool,Modify 06,Blend Tool,ブレンド,app.selectTool('Adobe Blend Tool');,"Select Tool tool name ""Adobe Blend Tool""",app.selectTool({toolName: 'Adobe Blend Tool'});,24
35,toolName_35,Adobe Scissors Tool,Modify 07,Scissors Tool,はさみ,app.selectTool('Adobe Scissors Tool');,"Select Tool tool name ""Adobe Scissors Tool""",app.selectTool({toolName: 'Adobe Scissors Tool'});,24
36,toolName_36,Adobe Measure Tool,Modify 05,Measure Tool,ものさし,app.selectTool('Adobe Measure Tool');,"Select Tool tool name ""Adobe Measure Tool""",app.selectTool({toolName: 'Adobe Measure Tool'});,24
37,toolName_37,Adobe Page Tool,Navigate 01,Print Tiling Tool,プリント分割,app.selectTool('Adobe Page Tool');,"Select Tool tool name ""Adobe Page Tool""",app.selectTool({toolName: 'Adobe Page Tool'});,24
38,toolName_38,Adobe Zoom Tool,Navigate 02,Zoom Tool,ズーム,app.selectTool('Adobe Zoom Tool');,"Select Tool tool name ""Adobe Zoom Tool""",app.selectTool({toolName: 'Adobe Zoom Tool'});,24
39,toolName_39,Adobe Add Anchor Point Tool,Draw 01,Add Anchor Point Tool,アンカーポイントの追加,app.selectTool('Adobe Add Anchor Point Tool');,"Select Tool tool name ""Adobe Add Anchor Point Tool""",app.selectTool({toolName: 'Adobe Add Anchor Point Tool'});,24
40,toolName_40,Adobe Delete Anchor Point Tool,Draw 01,Delete Anchor Point Tool,アンカーポイントの削除,app.selectTool('Adobe Delete Anchor Point Tool');,"Select Tool tool name ""Adobe Delete Anchor Point Tool""",app.selectTool({toolName: 'Adobe Delete Anchor Point Tool'});,24
41,toolName_41,Adobe Anchor Point Tool,Draw 01,Anchor Point Tool,アンカーポイント,app.selectTool('Adobe Anchor Point Tool');,"Select Tool tool name ""Adobe Anchor Point Tool""",app.selectTool({toolName: 'Adobe Anchor Point Tool'});,24
42,toolName_42,Adobe Gradient Vector Tool,Paint 01,Gradient Tool,グラデーション,app.selectTool('Adobe Gradient Vector Tool');,"Select Tool tool name ""Adobe Gradient Vector Tool""",app.selectTool({toolName: 'Adobe Gradient Vector Tool'});,24
43,toolName_43,Adobe Brush Tool,Draw 05,Paintbrush Tool,ブラシ,app.selectTool('Adobe Brush Tool');,"Select Tool tool name ""Adobe Brush Tool""",app.selectTool({toolName: 'Adobe Brush Tool'});,24
44,toolName_44,Adobe Eyedropper Tool,Modify 05,Eyedropper Tool,スポイト,app.selectTool('Adobe Eyedropper Tool');,"Select Tool tool name ""Adobe Eyedropper Tool""",app.selectTool({toolName: 'Adobe Eyedropper Tool'});,24
45,toolName_45,Adobe Reshape Tool,Modify 02,Reshape Tool,リシェイプ,app.selectTool('Adobe Reshape Tool');,"Select Tool tool name ""Adobe Reshape Tool""",app.selectTool({toolName: 'Adobe Reshape Tool'});,24
46,toolName_46,Adobe Width Tool,Modify 03,Width Tool,線幅,app.selectTool('Adobe Width Tool');,"Select Tool tool name ""Adobe Width Tool""",app.selectTool({toolName: 'Adobe Width Tool'});,24
47,toolName_47,Adobe Knife Tool,Modify 07,Knife,ナイフ,app.selectTool('Adobe Knife Tool');,"Select Tool tool name ""Adobe Knife Tool""",app.selectTool({toolName: 'Adobe Knife Tool'});,24
48,toolName_48,Adobe Shape Construction Regular Polygon Tool,Draw 04,Polygon Tool,多角形,app.selectTool('Adobe Shape Construction Regular Polygon Tool');,"Select Tool tool name ""Adobe Shape Construction Regular Polygon Tool""",app.selectTool({toolName: 'Adobe Shape Construction Regular Polygon Tool'});,24
49,toolName_49,Adobe Shape Construction Star Tool,Draw 04,Star Tool,スター,app.selectTool('Adobe Shape Construction Star Tool');,"Select Tool tool name ""Adobe Shape Construction Star Tool""",app.selectTool({toolName: 'Adobe Shape Construction Star Tool'});,24
50,toolName_50,Adobe Shape Construction Spiral Tool,Draw 03,Spiral Tool,スパイラル,app.selectTool('Adobe Shape Construction Spiral Tool');,"Select Tool tool name ""Adobe Shape Construction Spiral Tool""",app.selectTool({toolName: 'Adobe Shape Construction Spiral Tool'});,24
51,toolName_51,Adobe Mesh Editing Tool,Paint 02,Mesh Tool,メッシュ,app.selectTool('Adobe Mesh Editing Tool');,"Select Tool tool name ""Adobe Mesh Editing Tool""",app.selectTool({toolName: 'Adobe Mesh Editing Tool'});,24
52,toolName_52,Adobe Free Transform Tool,Modify 04,Free Transform Tool,自由変形,app.selectTool('Adobe Free Transform Tool');,"Select Tool tool name ""Adobe Free Transform Tool""",app.selectTool({toolName: 'Adobe Free Transform Tool'});,24
53,toolName_53,Adobe Direct Lasso Tool,Select 04,Lasso Tool,なげなわ,app.selectTool('Adobe Direct Lasso Tool');,"Select Tool tool name ""Adobe Direct Lasso Tool""",app.selectTool({toolName: 'Adobe Direct Lasso Tool'});,24
54,toolName_54,Adobe Ellipse Shape Tool,Draw 04,Ellipse Tool,楕円形,app.selectTool('Adobe Ellipse Shape Tool');,"Select Tool tool name ""Adobe Ellipse Shape Tool""",app.selectTool({toolName: 'Adobe Ellipse Shape Tool'});,24
55,toolName_55,Adobe Rectangle Shape Tool,Draw 04,Rectangle Tool,長方形,app.selectTool('Adobe Rectangle Shape Tool');,"Select Tool tool name ""Adobe Rectangle Shape Tool""",app.selectTool({toolName: 'Adobe Rectangle Shape Tool'});,24
